,aes_aes,bfs_bulk,bfs_queue,fft_strided,fft_transpose,gemm_blocked,gemm_ncubed,kmp_kmp,md_grid,md_knn,nw_nw,sort_merge,sort_radix,spmv_crs,spmv_ellpack,stencil_stencil2d,stencil_stencil3d,viterbi_viterbi
cache_assoc,130,32,130,31,3,0,0,130,121,21,130,130,0,121,30,4010,220,0
cache_bandwidth,0,3,10,31,0,0,0,3,3,1,2,20,0,2,2,1022,1,0
cache_hit_latency,1211,221,212,30,2,0,0,2120,21,21,1211,1121,0,220,32,3101,21,0
cache_line_sz,221,31,5,31,3,0,0,1211,50,32,221,41,0,23,41,3101,3,0
cache_queue_size,0,0,21,22,1,0,0,2,2,21,1,22,0,1,2,4001,1,0
cache_size,4010,4100,4010,3101,311,0,0,4100,4100,4010,4010,4010,0,4100,5000,4100,1211,0
cycle_time,131,410,320,131,131,0,0,1202,2120,1121,121,320,0,2210,2110,5000,131,0
pipelined_dma,2,12,3,1,0,0,0,12,2,0,1,31,0,0,22,211,0,0
pipelining,3101,3110,3110,3110,1211,0,0,13,3110,3200,2210,3110,0,2111,3020,5000,1121,0
tlb_assoc,1,21,31,0,0,0,0,22,1,1,3,1,0,3,2,2110,0,0
tlb_bandwidth,3110,3200,3110,2110,220,0,0,4100,2210,1220,3110,3110,0,4100,3200,4100,140,0
tlb_entries,1,21,21,21,1,0,0,3,13,5,4,11,0,50,2,2200,2,0
tlb_hit_latency,1211,1112,212,30,2,0,0,2120,11,1,1121,1211,0,130,40,4010,1,0
tlb_max_outstanding_walks,12,1,2,1,0,0,0,1,0,0,0,2,0,2,0,220,2,0
tlb_miss_latency,1,10,1,2,0,0,0,2,21,1,0,31,0,1,2,221,3,0
tlb_page_size,1,11,2,0,0,0,0,11,1,0,2,4,0,1,2,1200,0,0
